=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.19 10:06:13 =~=~=~=~=~=~=~=~=~=~=~=
Setup: Serial port communication at 9600bps
t:7.30,Throttle:1830,Theta:0.55,theta_d:0.00,Error:-0.55
t:7.35,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:7.40,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:7.45,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:7.50,Throttle:1830,Theta:0.55,theta_d:0.00,Error:-0.55
t:7.55,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:7.60,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:7.65,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:7.70,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:7.75,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:7.80,Throttle:1824,Theta:0.92,theta_d:0.00,Error:-0.92
t:7.85,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:7.90,Throttle:1830,Theta:0.55,theta_d:0.00,Error:-0.55
t:7.95,Throttle:1820,Theta:1.30,theta_d:0.00,Error:-1.30
t:8.00,Throttle:1831,Theta:0.55,theta_d:0.00,Error:-0.55
t:8.05,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:8.10,Throttle:1820,Theta:1.30,theta_d:0.00,Error:-1.30
t:8.15,Throttle:1833,Theta:0.36,theta_d:0.00,Error:-0.36
t:8.20,Throttle:1824,Theta:0.92,theta_d:0.00,Error:-0.92
t:8.25,Throttle:1823,Theta:1.11,theta_d:0.00,Error:-1.11
t:8.30,Throttle:1826,Theta:0.92,theta_d:0.00,Error:-0.92
t:8.35,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:8.40,Throttle:1824,Theta:0.92,theta_d:0.00,Error:-0.92
t:8.45,Throttle:1820,Theta:1.30,theta_d:0.00,Error:-1.30
t:8.50,Throttle:1833,Theta:0.36,theta_d:0.00,Error:-0.36
t:8.55,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:8.60,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:8.65,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:8.70,Throttle:1837,Theta:-0.02,theta_d:0.00,Error:0.02
t:8.75,Throttle:1823,Theta:0.92,theta_d:0.00,Error:-0.92
t:8.80,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:8.85,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:8.90,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:8.95,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:9.00,Throttle:1822,Theta:1.11,theta_d:0.00,Error:-1.11
t:9.05,Throttle:1830,Theta:0.55,theta_d:0.00,Error:-0.55
t:9.10,Throttle:1834,Theta:0.17,theta_d:0.00,Error:-0.17
t:9.15,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:9.20,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:9.25,Throttle:1830,Theta:0.55,theta_d:0.00,Error:-0.55
t:9.30,Throttle:1834,Theta:0.17,theta_d:0.00,Error:-0.17
t:9.35,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:9.40,Throttle:1812,Theta:1.87,theta_d:0.00,Error:-1.87
t:9.45,Throttle:1834,Theta:0.36,theta_d:0.00,Error:-0.36
t:9.50,Throttle:1824,Theta:0.92,theta_d:0.00,Error:-0.92
t:9.55,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:9.60,Throttle:1825,Theta:0.92,theta_d:0.00,Error:-0.92
t:9.65,Throttle:1837,Theta:-0.02,theta_d:0.00,Error:0.02
t:9.70,Throttle:1823,Theta:0.92,theta_d:0.00,Error:-0.92
t:9.75,Throttle:1823,Theta:1.11,theta_d:0.00,Error:-1.11
t:9.80,Throttle:1823,Theta:1.11,theta_d:0.00,Error:-1.11
t:9.85,Throttle:1833,Theta:0.36,theta_d:0.00,Error:-0.36
t:9.90,Throttle:1824,Theta:0.92,theta_d:0.00,Error:-0.92
