=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.27 17:16:13 =~=~=~=~=~=~=~=~=~=~=~=
St558,Theta:2.29,theta_d:-15.00,Error:-17.-17.10
t:5.00,Throttle:1675,Theta:-7.53,theta_d:-15.00,Error:-7.47
t:5.05,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:5.10,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:5.15,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:5.20,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:5.25,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:5.30,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:5.35,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:5.40,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:5.45,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:5.50,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:5.55,Throttle:1668,Theta:-6.96,theta_d:-15.00,Error:-8.04
t:5.60,Throttle:1676,Theta:-7.53,theta_d:-15.00,Error:-7.47
t:5.65,Throttle:1672,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:5.70,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:5.75,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:5.80,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:5.85,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:5.90,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:5.95,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:6.00,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:6.05,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:6.10,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:6.15,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
