=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.20 11:43:14 =~=~=~=~=~=~=~=~=~=~=~=
Setup: Serial port communication at 9600bps
t:2.95,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.00,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.05,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.10,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.15,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.20,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:3.25,Throttle:1950,Theta:-91Setup: Serial port communication at 9600bps
t:0.00,Throttle:1950,Theta:-87.20,theta_d:0.00,Error:87.20
t:0.05,Throttle:1950,Theta:-77.96,theta_d:0.00,Error:77.96
t:0.10,Throttle:1950,Theta:-75.13,theta_d:0.00,Error:75.13
t:0.15,Throttle:1950,Theta:-67.39,theta_d:0.00,Error:67.39
t:0.20,Throttle:1950,Theta:-61.35,theta_d:0.00,Error:61.35
t:0.25,Throttle:1950,Theta:-51.73,theta_d:0.00,Error:51.73
t:0.30,Throttle:1950,Theta:-48.14,theta_d:0.00,Error:48.14
t:0.35,Throttle:1950,Theta:-37.38,theta_d:0.00,Error:37.38
t:0.40,Throttle:1950,Theta:-33.99,theta_d:0.00,Error:33.99
t:0.45,Throttle:1950,Theta:-19.46,theta_d:0.00,Error:19.46
t:0.50,Throttle:1898,Theta:-8.89,theta_d:0.00,Error:8.89
t:0.55,Throttle:1671,Theta:5.08,theta_d:0.00,Error:-5.08
t:0.60,Throttle:1258,Theta:20.55,theta_d:0.00,Error:-20.55
t:0.65,Throttle:1000,Theta:31.68,theta_d:0.00,Error:-31.68
t:0.70,Throttle:1183,Theta:24.32,theta_d:0.00,Error:-24.32
t:0.75,Throttle:1477,Theta:16.02,theta_d:0.00,Error:-16.02
t:0.80,Throttle:1749,Theta:3.57,theta_d:0.00,Error:-3.57
t:0.85,Throttle:1950,Theta:-15.87,theta_d:0.00,Error:15.87
t:0.90,Throttle:1950,Theta:-54.93,theta_d:0.00,Error:54.93
t:0.95,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.00,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.05,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
